antigenicity_score,antigen_prediction
0.1452,Probable Non-Antigen
0.5489,Probable Antigen
1.7142,Probable Antigen
0.4811,Probable Non-Antigen
0.4287,Probable Non-Antigen
0.9395,Probable Antigen
0.8259,Probable Antigen
1.3778,Probable Antigen
0.1933,Probable Non-Antigen
-0.1187,Probable Non-Antigen
0.3598,Probable Non-Antigen
0.5677,Probable Antigen
-0.8524,Probable Non-Antigen
0.1978,Probable Non-Antigen
0.0088,Probable Non-Antigen
0.343,Probable Non-Antigen
-0.422,Probable Non-Antigen
-0.2332,Probable Non-Antigen
0.4597,Probable Non-Antigen
0.8139,Probable Antigen
0.5279,Probable Antigen
0.1685,Probable Non-Antigen
1.1141,Probable Antigen
0.3409,Probable Non-Antigen
0.1676,Probable Non-Antigen
1.5122,Probable Antigen
1.933,Probable Antigen
1.4741,Probable Antigen
0.7331,Probable Antigen
0.4005,Probable Non-Antigen
0.7273,Probable Antigen
0.4525,Probable Non-Antigen
0.514,Probable Antigen
0.3448,Probable Non-Antigen
0.5014,Probable Antigen
1.0631,Probable Antigen
0.4535,Probable Non-Antigen
0.6193,Probable Antigen
0.3186,Probable Non-Antigen
0.1287,Probable Non-Antigen
0.0716,Probable Non-Antigen
0.8228,Probable Antigen
0.2265,Probable Non-Antigen
0.6219,Probable Antigen
1.0142,Probable Antigen
0.5377,Probable Antigen
0.4008,Probable Non-Antigen
0.2957,Probable Non-Antigen
0.4648,Probable Non-Antigen
0.5583,Probable Antigen
0.181,Probable Non-Antigen
0.2278,Probable Non-Antigen
0.6342,Probable Antigen
0.6364,Probable Antigen
0.2642,Probable Non-Antigen
0.6175,Probable Antigen
0.0814,Probable Non-Antigen
0.175,Probable Non-Antigen
0.7758,Probable Antigen
0.2752,Probable Non-Antigen
0.6259,Probable Antigen
0.8112,Probable Antigen
0.3549,Probable Non-Antigen
-0.3789,Probable Non-Antigen
1.0008,Probable Antigen
0.928,Probable Antigen
0.1642,Probable Non-Antigen
-0.3282,Probable Non-Antigen
0.5808,Probable Antigen
0.5471,Probable Antigen
-0.4238,Probable Non-Antigen
0.8202,Probable Antigen
0.3371,Probable Non-Antigen
0.2224,Probable Non-Antigen
0.6958,Probable Antigen
0.6806,Probable Antigen
0.9226,Probable Antigen
0.2955,Probable Non-Antigen
0.5563,Probable Antigen
1.1058,Probable Antigen
0.5613,Probable Antigen
0.0295,Probable Non-Antigen
0.0964,Probable Non-Antigen
1.2698,Probable Antigen
0.5147,Probable Antigen
0.5501,Probable Antigen
0.2132,Probable Non-Antigen
0.3082,Probable Non-Antigen
0.0181,Probable Non-Antigen
0.6392,Probable Antigen
0.4357,Probable Non-Antigen
1.0213,Probable Antigen
0.3573,Probable Non-Antigen
-0.0734,Probable Non-Antigen
0.1526,Probable Non-Antigen
0.7188,Probable Antigen
0.8042,Probable Antigen
0.5849,Probable Antigen
0.25,Probable Non-Antigen
-0.1304,Probable Non-Antigen
0.3798,Probable Non-Antigen
0.4866,Probable Non-Antigen
0.7434,Probable Antigen
0.2588,Probable Non-Antigen
0.4347,Probable Non-Antigen
0.7202,Probable Antigen
