antigenicity_score,antigen_prediction
0.9109,Probable Antigen
1.091,Probable Antigen
0.4221,Probable Non-Antigen
0.5459,Probable Antigen
0.1574,Probable Non-Antigen
0.6097,Probable Antigen
0.9478,Probable Antigen
-0.7863,Probable Non-Antigen
0.5206,Probable Antigen
0.0542,Probable Non-Antigen
0.4131,Probable Non-Antigen
0.2604,Probable Non-Antigen
0.6828,Probable Antigen
0.1863,Probable Non-Antigen
0.0207,Probable Non-Antigen
0.5428,Probable Antigen
0.3489,Probable Non-Antigen
0.3393,Probable Non-Antigen
0.6349,Probable Antigen
0.3212,Probable Non-Antigen
0.43,Probable Non-Antigen
0.3951,Probable Non-Antigen
0.9497,Probable Antigen
0.6067,Probable Antigen
0.3068,Probable Non-Antigen
-0.4053,Probable Non-Antigen
1.1375,Probable Antigen
-0.2016,Probable Non-Antigen
0.2509,Probable Non-Antigen
0.2274,Probable Non-Antigen
0.3396,Probable Non-Antigen
0.8159,Probable Antigen
0.3741,Probable Non-Antigen
0.2192,Probable Non-Antigen
-0.0358,Probable Non-Antigen
-0.2555,Probable Non-Antigen
0.3917,Probable Non-Antigen
0.0465,Probable Non-Antigen
0.3675,Probable Non-Antigen
0.6376,Probable Antigen
0.4996,Probable Non-Antigen
0.2791,Probable Non-Antigen
0.2735,Probable Non-Antigen
0.8542,Probable Antigen
0.004,Probable Non-Antigen
0.7574,Probable Antigen
1.2416,Probable Antigen
0.2975,Probable Non-Antigen
0.2681,Probable Non-Antigen
0.167,Probable Non-Antigen
0.3569,Probable Non-Antigen
0.0028,Probable Non-Antigen
0.2263,Probable Non-Antigen
-0.2346,Probable Non-Antigen
0.3824,Probable Non-Antigen
0.0188,Probable Non-Antigen
0.6917,Probable Antigen
0.1136,Probable Non-Antigen
0.5978,Probable Antigen
0.3087,Probable Non-Antigen
0.7846,Probable Antigen
-0.424,Probable Non-Antigen
0.9801,Probable Antigen
1.1732,Probable Antigen
-0.091,Probable Non-Antigen
0.2846,Probable Non-Antigen
0.5816,Probable Antigen
0.7422,Probable Antigen
0.5807,Probable Antigen
0.2806,Probable Non-Antigen
0.3219,Probable Non-Antigen
0.3868,Probable Non-Antigen
0.3822,Probable Non-Antigen
0.7959,Probable Antigen
0.1815,Probable Non-Antigen
0.5515,Probable Antigen
0.7984,Probable Antigen
0.2018,Probable Non-Antigen
0.0583,Probable Non-Antigen
0.478,Probable Non-Antigen
-0.3112,Probable Non-Antigen
0.4469,Probable Non-Antigen
0.4355,Probable Non-Antigen
0.4663,Probable Non-Antigen
0.1168,Probable Non-Antigen
-0.2244,Probable Non-Antigen
0.0529,Probable Non-Antigen
1.1557,Probable Antigen
0.3761,Probable Non-Antigen
0.4122,Probable Non-Antigen
0.0665,Probable Non-Antigen
0.7146,Probable Antigen
1.2432,Probable Antigen
0.204,Probable Non-Antigen
0.5709,Probable Antigen
-0.0445,Probable Non-Antigen
0.4757,Probable Non-Antigen
0.6147,Probable Antigen
0.1621,Probable Non-Antigen
0.0521,Probable Non-Antigen
0.9308,Probable Antigen
-0.0632,Probable Non-Antigen
0.8857,Probable Antigen
0.7445,Probable Antigen
1.0027,Probable Antigen
-0.0011,Probable Non-Antigen
0.6237,Probable Antigen
0.8391,Probable Antigen
0.7427,Probable Antigen
0.7081,Probable Antigen
0.3421,Probable Non-Antigen
0.6994,Probable Antigen
0.3233,Probable Non-Antigen
-0.1094,Probable Non-Antigen
0.1677,Probable Non-Antigen
0.3503,Probable Non-Antigen
0.5872,Probable Antigen
-0.0882,Probable Non-Antigen
0.0625,Probable Non-Antigen
0.2898,Probable Non-Antigen
0.2305,Probable Non-Antigen
0.1062,Probable Non-Antigen
0.0622,Probable Non-Antigen
0.6019,Probable Antigen
0.4153,Probable Non-Antigen
0.5153,Probable Antigen
0.7798,Probable Antigen
0.022,Probable Non-Antigen
0.3856,Probable Non-Antigen
0.1684,Probable Non-Antigen
0.4191,Probable Non-Antigen
-0.1474,Probable Non-Antigen
0.3102,Probable Non-Antigen
0.7711,Probable Antigen
0.0677,Probable Non-Antigen
0.8957,Probable Antigen
0.3995,Probable Non-Antigen
0.0601,Probable Non-Antigen
0.1215,Probable Non-Antigen
0.0934,Probable Non-Antigen
0.3384,Probable Non-Antigen
-0.2555,Probable Non-Antigen
0.4004,Probable Non-Antigen
0.3511,Probable Non-Antigen
0.5062,Probable Antigen
0.263,Probable Non-Antigen
0.2345,Probable Non-Antigen
0.5187,Probable Antigen
0.7678,Probable Antigen
0.5975,Probable Antigen
0.4637,Probable Non-Antigen
0.1733,Probable Non-Antigen
0.6624,Probable Antigen
0.4746,Probable Non-Antigen
0.3784,Probable Non-Antigen
1.7616,Probable Antigen
0.3189,Probable Non-Antigen
0.2554,Probable Non-Antigen
-0.1516,Probable Non-Antigen
0.9674,Probable Antigen
0.3262,Probable Non-Antigen
-0.371,Probable Non-Antigen
0.4163,Probable Non-Antigen
0.8305,Probable Antigen
0.0416,Probable Non-Antigen
0.6079,Probable Antigen
1.1085,Probable Antigen
-0.1784,Probable Non-Antigen
0.8358,Probable Antigen
0.4346,Probable Non-Antigen
0.0175,Probable Non-Antigen
0.4707,Probable Non-Antigen
0.5755,Probable Antigen
0.7543,Probable Antigen
0.0198,Probable Non-Antigen
0.3385,Probable Non-Antigen
0.7024,Probable Antigen
0.6059,Probable Antigen
1.383,Probable Antigen
-0.1534,Probable Non-Antigen
0.0877,Probable Non-Antigen
0.2617,Probable Non-Antigen
0.6472,Probable Antigen
