antigenicity_score,antigen_prediction
1.0779,Probable Antigen
0.279,Probable Non-Antigen
1.1011,Probable Antigen
0.2994,Probable Non-Antigen
0.6085,Probable Antigen
0.8365,Probable Antigen
0.1864,Probable Non-Antigen
0.6555,Probable Antigen
0.0385,Probable Non-Antigen
0.685,Probable Antigen
0.7057,Probable Antigen
0.1133,Probable Non-Antigen
0.7356,Probable Antigen
0.6031,Probable Antigen
0.1853,Probable Non-Antigen
0.5162,Probable Antigen
0.1091,Probable Non-Antigen
1.1892,Probable Antigen
0.9832,Probable Antigen
0.3516,Probable Non-Antigen
0.3299,Probable Non-Antigen
0.6523,Probable Antigen
-0.0341,Probable Non-Antigen
-0.0422,Probable Non-Antigen
0.0015,Probable Non-Antigen
0.5492,Probable Antigen
0.442,Probable Non-Antigen
0.4324,Probable Non-Antigen
0.5057,Probable Antigen
0.4935,Probable Non-Antigen
0.4717,Probable Non-Antigen
0.9116,Probable Antigen
1.5531,Probable Antigen
-0.1003,Probable Non-Antigen
0.4244,Probable Non-Antigen
0.4504,Probable Non-Antigen
0.4824,Probable Non-Antigen
0.698,Probable Antigen
0.9809,Probable Antigen
0.4778,Probable Non-Antigen
1.1263,Probable Antigen
-0.0408,Probable Non-Antigen
0.5548,Probable Antigen
0.583,Probable Antigen
-0.4826,Probable Non-Antigen
1.4306,Probable Antigen
-0.0707,Probable Non-Antigen
-0.1484,Probable Non-Antigen
0.5829,Probable Antigen
0.2191,Probable Non-Antigen
0.3819,Probable Non-Antigen
-0.2928,Probable Non-Antigen
0.2855,Probable Non-Antigen
1.147,Probable Antigen
0.3504,Probable Non-Antigen
-0.0942,Probable Non-Antigen
0.6366,Probable Antigen
0.0746,Probable Non-Antigen
0.5204,Probable Antigen
-0.0942,Probable Non-Antigen
1.2319,Probable Antigen
0.2113,Probable Non-Antigen
0.5752,Probable Antigen
0.2032,Probable Non-Antigen
0.2954,Probable Non-Antigen
0.3834,Probable Non-Antigen
1.0048,Probable Antigen
0.6606,Probable Antigen
0.2997,Probable Non-Antigen
0.3688,Probable Non-Antigen
0.5669,Probable Antigen
0.3192,Probable Non-Antigen
0.3842,Probable Non-Antigen
0.686,Probable Antigen
0.6384,Probable Antigen
0.2137,Probable Non-Antigen
0.3344,Probable Non-Antigen
0.1779,Probable Non-Antigen
0.0777,Probable Non-Antigen
-0.1202,Probable Non-Antigen
0.3706,Probable Non-Antigen
1.3334,Probable Antigen
0.51,Probable Antigen
0.7773,Probable Antigen
0.4245,Probable Non-Antigen
0.7809,Probable Antigen
0.6058,Probable Antigen
0.5843,Probable Antigen
0.3119,Probable Non-Antigen
0.4114,Probable Non-Antigen
0.4538,Probable Non-Antigen
1.0533,Probable Antigen
0.419,Probable Non-Antigen
0.4464,Probable Non-Antigen
1.1217,Probable Antigen
0.2397,Probable Non-Antigen
0.9919,Probable Antigen
0.5784,Probable Antigen
1.1092,Probable Antigen
0.2607,Probable Non-Antigen
0.3179,Probable Non-Antigen
-0.2958,Probable Non-Antigen
0.5877,Probable Antigen
0.5734,Probable Antigen
1.0147,Probable Antigen
0.2413,Probable Non-Antigen
0.1805,Probable Non-Antigen
0.5783,Probable Antigen
0.4585,Probable Non-Antigen
0.2427,Probable Non-Antigen
0.9384,Probable Antigen
0.3917,Probable Non-Antigen
0.3543,Probable Non-Antigen
0.8103,Probable Antigen
0.9765,Probable Antigen
0.2814,Probable Non-Antigen
0.7564,Probable Antigen
0.553,Probable Antigen
0.2371,Probable Non-Antigen
1.1857,Probable Antigen
0.0145,Probable Non-Antigen
0.0168,Probable Non-Antigen
0.5895,Probable Antigen
0.0947,Probable Non-Antigen
0.3986,Probable Non-Antigen
0.7331,Probable Antigen
0.6435,Probable Antigen
0.2518,Probable Non-Antigen
0.2203,Probable Non-Antigen
-0.0646,Probable Non-Antigen
0.6672,Probable Antigen
0.5261,Probable Antigen
0.5789,Probable Antigen
1.1849,Probable Antigen
1.001,Probable Antigen
0.7892,Probable Antigen
0.3614,Probable Non-Antigen
0.7762,Probable Antigen
1.4115,Probable Antigen
0.7052,Probable Antigen
0.1572,Probable Non-Antigen
0.485,Probable Non-Antigen
1.1411,Probable Antigen
0.7212,Probable Antigen
0.5846,Probable Antigen
0.6759,Probable Antigen
1.0699,Probable Antigen
0.8311,Probable Antigen
0.5477,Probable Antigen
0.5388,Probable Antigen
0.0907,Probable Non-Antigen
0.6484,Probable Antigen
0.2427,Probable Non-Antigen
0.6213,Probable Antigen
1.1762,Probable Antigen
0.76,Probable Antigen
0.8844,Probable Antigen
0.0215,Probable Non-Antigen
0.3665,Probable Non-Antigen
1.0042,Probable Antigen
-0.0237,Probable Non-Antigen
0.23,Probable Non-Antigen
-1.0327,Probable Non-Antigen
0.1381,Probable Non-Antigen
1.3247,Probable Antigen
0.5096,Probable Antigen
0.3673,Probable Non-Antigen
0.7603,Probable Antigen
1.0646,Probable Antigen
0.2595,Probable Non-Antigen
-0.0113,Probable Non-Antigen
0.6771,Probable Antigen
-0.015,Probable Non-Antigen
